emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Senior Staff
10122,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,Technique Leader
10147,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,Senior Staff
10156,Sumali,Fargier,1964-09-19,1993-05-14,9999-01-01,Senior Engineer
10168,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,Senior Staff
10190,Arve,Fairtlough,1964-12-11,1986-06-23,9999-01-01,Senior Engineer
10211,Vishu,Strehl,1964-08-05,1991-11-22,9999-01-01,Senior Engineer
10242,Lunjin,Ozeri,1964-02-22,1988-01-18,9999-01-01,Senior Engineer
10247,Heon,Riefers,1964-06-30,1992-08-14,9999-01-01,Senior Engineer
10277,Isaac,Schwartzbauer,1964-08-15,1985-06-16,9999-01-01,Senior Staff
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
10296,Petter,Lorho,1964-05-13,1989-09-16,9999-01-01,Senior Staff
10357,Hausi,Sidhu,1964-01-10,1994-04-04,9999-01-01,Senior Engineer
10378,Takahira,Lichtner,1964-09-05,1992-08-31,9999-01-01,Senior Staff
10469,Munehiko,Ananiadou,1964-12-22,1992-12-26,9999-01-01,Senior Engineer
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Senior Staff
10491,Garnik,Narahari,1964-09-09,1990-01-17,9999-01-01,Senior Staff
10507,Kasidit,Belinskaya,1964-02-18,1990-09-30,9999-01-01,Senior Staff
10520,Jenwei,Ecklund,1964-03-06,1996-09-05,9999-01-01,Senior Engineer
10527,Tetsushi,Barvinok,1964-09-15,1996-01-25,9999-01-01,Technique Leader
10536,Yechiam,Sambasivam,1964-10-29,1988-10-07,9999-01-01,Senior Staff
10553,Rajmohan,Wallrath,1964-02-08,1990-07-22,9999-01-01,Senior Engineer
10558,Hisao,Famili,1964-10-08,1992-04-22,9999-01-01,Senior Engineer
10595,Giri,Undy,1964-12-10,1989-11-24,9999-01-01,Senior Engineer
10606,Toshiki,Marakhovsky,1964-03-04,1987-05-02,9999-01-01,Senior Engineer
10611,Karsten,Blokdijk,1964-05-11,1989-09-16,9999-01-01,Senior Engineer
10663,Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01,Technique Leader
10666,Zhonghua,Reeker,1964-10-03,1989-05-20,9999-01-01,Senior Staff
10688,Xiaopeng,Lanphier,1964-02-28,1986-04-13,9999-01-01,Senior Staff
10699,Hatim,Deverell,1964-02-02,1985-11-17,9999-01-01,Senior Engineer
10723,Eckart,Harnett,1964-01-14,1997-07-14,9999-01-01,Technique Leader
10735,Morrie,Gewali,1964-09-12,1985-10-29,9999-01-01,Senior Staff
10748,Yuchang,Francisci,1964-04-12,1992-04-04,9999-01-01,Senior Staff
10752,Byong,Conde,1964-07-18,1993-05-28,9999-01-01,Senior Engineer
10762,Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Senior Staff
10786,Patricia,dAstous,1964-05-19,2001-12-10,9999-01-01,Senior Engineer
10807,Munehiro,Zallocco,1964-06-23,1999-10-19,9999-01-01,Senior Staff
10832,Hidde,Bergere,1964-08-29,1986-10-11,9999-01-01,Senior Staff
10853,Yoshinari,Kalloufi,1964-03-22,1993-05-03,9999-01-01,Technique Leader
10877,Subir,Biron,1964-09-11,1986-06-06,9999-01-01,Senior Staff
10886,Sushant,Begiun,1964-09-30,1995-03-26,9999-01-01,Senior Engineer
10933,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
10937,Anyuan,Nanard,1964-09-11,1991-05-03,9999-01-01,Senior Engineer
10982,Yishay,Decleir,1964-02-27,1989-11-11,9999-01-01,Senior Staff
